run_id,scenario_id,scenario_name,transcript_id,outcome,turns,safety_violations,recovery_score_1_to_5,ux_score_1_to_5,root_cause_bucket,fix_candidate,notes
"baseline-v1","1","Baseline Pickup","1-e328dfbf-48fe-4232-ad46-0b6825fc2579","Success","6","0","4","5","","","Expected phrases found."
"baseline-v1","2","Baseline Delivery In-Zone","2-c9521efa-c5af-4a7c-bf09-03385646cc25","Partial","7","0","4","5","conversation-ux","Tune intent routing and response recovery prompts.","Missing expected phrase(s): pending human approval"
"baseline-v1","3","Delivery Out-of-Zone","3-faa2326d-e719-473e-af15-f4d14277df54","Success","4","0","4","5","","","Expected phrases found."
"baseline-v1","4","All-at-Once Order","4-10181bcf-43f7-4f99-b889-c23a7c58e34a","Partial","2","0","4","5","conversation-ux","Tune intent routing and response recovery prompts.","Missing expected phrase(s): pending human approval"
"baseline-v1","5","Mid-Flow Hours Question","5-70477bbc-4c96-4e73-8064-6512d67480f3","Success","7","0","4","5","","","Expected phrases found."
"baseline-v1","6","Abrupt Fulfillment Switch","6-64ca67ee-1f72-4408-bb62-3417ac20d09c","Partial","8","0","4","5","conversation-ux","Tune intent routing and response recovery prompts.","Missing expected phrase(s): pending human approval"
"baseline-v1","7","Invalid Coupon Request","7-0f8ed552-5768-448d-b114-6d2e07e89f49","Success","7","0","4","5","","","Expected phrases found."
"baseline-v1","8","Nonsensical Input Recovery","8-7ead2e3a-5337-4d99-bffd-7133903739d5","Partial","8","0","4","5","conversation-ux","Tune intent routing and response recovery prompts.","Missing expected phrase(s): pending human approval"
"baseline-v1","9","Item Modification Late","9-f2a53f97-17c0-4156-8bf3-12d7e7188d4b","Success","7","0","4","5","","","Expected phrases found."
"baseline-v1","10","Human Handoff Request","10-e1c93c23-75e8-47ad-9a1e-6dd6f3bf062a","Success","2","0","5","5","","","Expected phrases found."
